Genero,Edad,Estrato,NivelEd,ConcProm1,ConcProm2_1,ConcProm2_2
0,21,2,4,25.09000333,18.78279873,31.39674074
1,72,3,4,43.54735361,39.5987851,47.49562963
0,47,1,0,40.93533094,34.07867249,47.79148148
0,43,2,2,57.72706397,55.15334469,60.30059259
0,33,3,4,4.75E+01,41.11860138,53.93859259
0,68,4,5,6.00E+01,54.80724498,65.23237037
0,74,2,1,71.30890033,73.19979258,69.41814815
0,24,2,1,41.97318419,24.30617083,59.63888889
1,24,3,4,70.19685914,64.65967849,75.73362963
1,40,3,4,67.25804659,68.51329728,66.00288889
1,36,3,4,67.25804659,68.51329728,66.00288889
1,37,2,1,3.72E+01,34.30898585,40.12088889
1,36,2,2,44.20274825,45.34958145,43.056
0,53,1,0,44.9482203,29.38706571,60.50822222
1,46,3,1,40.29145524,32.26513075,48.31718519
0,76,2,0,47.5288344,41.11860138,53.93859259
0,19,2,1,50.97962888,44.88569524,57.07311111
1,38,3,5,66.79584429,71.27920587,62.31281481
0,46,2,1,34.75013889,31.62782428,37.87222222
0,39,2,1,50.91603393,45.08659901,56.74503704
0,14,3,1,47.66795066,59.15415957,36.18259259
1,38,3,2,59.08915145,64.49537003,53.68333333
1,38,3,2,39.87920147,38.2057854,41.55255556
1,42,2,1,40.63371544,41.64965369,39.61781481
0,44,2,1,60.83605252,58.13070854,63.5412963
0,82,2,1,50.00285194,49.5913182,50.56792593
1,54,2,1,42.3649512,38.78936257,45.94040741
1,33,3,2,46.54499157,42.75576873,50.33407407
0,49,4,4,44.56747347,44.97007297,44.16488889
0,56,5,4,49.57464737,47.89641336,51.25277778
0,21,3,4,42.77915985,31.41372924,54.14388889
0,47,3,2,36.70727492,28.34372492,45.07030864
0,48,3,2,46.83959381,59.46805358,34.21191358
0,37,3,4,44.69489799,39.91382184,49.47567901
0,39,4,5,56.36433223,61.67565899,51.05333333
0,36,2,1,49.26550202,45.73177357,52.79901235
1,28,3,4,34.31257138,31.48817828,37.13679012
0,48,3,4,57.35738757,49.65800358,65.0562963
0,43,4,5,48.1933393,46.36205939,50.02450617
0,21,2,1,72.97536961,72.48249892,73.46820988
0,67,2,1,45.39976542,35.88221495,54.9167284
0,53,3,2,47.07975555,37.36347923,56.7954321
0,45,2,1,48.70832433,51.96438052,45.45246914
1,46,2,1,52.27300225,49.82782888,54.71802469
0,45,2,1,49.78067224,51.01790234,48.54351852
0,56,3,1,60.63242693,64.58528304,56.67981481
1,31,3,2,26.65721164,18.07173282,35.24216049
1,27,3,4,49.56356678,30.59830854,68.52765432
0,56,2,1,48.27939134,42.98709797,53.57135802
0,58,1,0,21.81681533,24.60929687,19.02450617
0,52,3,1,42.9938887,34.74090993,51.24635802
1,47,3,1,57.18099324,55.89443793,58.46746914
0,31,3,4,12.17614741,6.298475215,18.05345679
0,28,3,4,24.61955616,22.79467868,26.44432099
0,55,2,2,42.94873299,37.86918946,48.02796296
0,33,3,2,46.1628754,30.68954874,61.63524691
1,38,3,4,49.14954165,38.6969566,59.60148148
0,25,3,2,51.96101732,50.16828199,53.75364198
0,29,2,4,65.72113337,64.66584357,66.77635802
0,42,3,2,5.21E+01,50.18791283,54.04882716
1,34,3,2,57.18099324,55.89443793,58.46746914
0,35,4,4,58.02188339,53.65429965,62.38919753
0,31,3,1,4.88E+01,33.83140935,63.76469136
0,43,3,2,75.54057224,69.20439533,81.87635802
0,70,4,0,51.07006389,49.70664856,52.43339506
1,59,3,1,49.78067224,51.01790234,48.54351852
0,37,2,2,41.91481219,34.66448546,49.16469136
1,32,3,2,54.41837711,49.29230199,59.5441358
0,50,2,1,57.35738757,49.65800358,65.0562963
0,51,2,1,44.19451218,38.65825051,49.7304321
0,66,2,1,18.8140992,17.18272733,20.44537037
0,61,2,1,61.95965925,62.15735539,61.76197531
0,60,2,1,49.01848822,32.66386814,65.37209877
0,39,3,6,53.60224081,53.55367615,53.65080247
0,40,3,4,39.40220377,31.0692018,47.73469136
0,59,1,0,57.2788049,52.46688067,62.0904321
0,43,3,1,41.75523936,15.59719736,67.91166667
0,57,3,1,26.81156826,11.57164022,42.05055556
0,55,2,1,52.11842958,50.18791283,54.04882716
0,54,3,1,53.60224081,53.55367615,53.65080247
0,52,3,1,56.88268156,52.64621273,61.11888889
1,30,3,4,67.12722615,65.55805914,68.6962963
0,62,3,2,57.20074694,55.66374468,58.73765432
1,28,3,2,42.38433285,41.76233101,43.0062963
0,33,3,4,34.48368777,29.39360454,39.57345679
0,50,3,1,47.02401309,50.01790234,44.03030864
0,47,3,2,48.07219359,44.28588184,51.8582716
1,20,4,4,47.93922652,51.93660102,43.94209877
0,21,4,4,54.76789407,55.55552812,53.98030864
0,23,3,4,43.89163246,31.45589234,56.32660494
0,26,3,4,45.39853082,35.69103031,55.1054321
0,33,3,2,61.0840458,48.67800482,73.48932099
0,26,3,4,51.56449273,48.67386876,54.45493827
0,36,3,4,72.59770363,71.04407679,74.15123457
0,53,3,1,40.546807,37.42354466,43.66987654
0,30,3,2,59.11333683,54.32464967,63.9017284
0,40,4,2,48.46467484,48.38971541,48.53962963
1,48,3,1,45.16000494,43.9800605,46.33987654
1,72,3,1,60.48411988,64.26476943,56.7037037
0,53,2,2,58.7366894,52.9672202,64.50580247
1,40,3,4,42.51257755,42.42385332,42.6012963
0,38,3,6,52.55430723,51.32946478,53.77907407
1,38,3,4,37.08185438,37.28699302,36.8767284
0,33,2,1,54.38532053,43.05784308,65.71209877
0,87,3,0,61.43337757,61.51280943,61.35395062
0,42,3,4,50.72977561,47.17871474,54.28061728
0,52,4,5,46.0047841,30.85357121,61.15506173
0,40,3,4,42.38433285,41.76233101,43.0062963
0,36,3,4,63.02101917,59.80356812,66.2382716
0,46,3,2,61.95965925,62.15735539,61.76197531
0,76,5,1,48.07219359,44.28588184,51.8582716
0,60,3,2,36.65464983,39.86283104,33.44666667
0,41,3,4,69.2054693,66.95561454,71.45518519
0,41,3,4,40.546807,37.42354466,43.66987654
0,22,3,4,52.55378252,56.43582937,48.67197531
0,41,3,2,37.19932714,30.66541145,43.73283951
0,18,3,4,54.76789407,55.55552812,53.98030864
0,55,3,2,54.90501615,58.78201931,51.02826087
1,19,3,1,26.21834007,8.304710167,44.1308642
0,75,2,0,49.70199698,43.2643373,56.13925926
1,38,3,2,45.92792987,40.11889623,51.73660494
0,18,3,1,50.91603393,45.08659901,56.74503704
0,80,4,1,61.95965925,62.15735539,61.76197531
0,67,3,2,59.42519831,65.40132107,53.44944444
0,57,3,2,59.18170314,50.08722761,68.27561728
0,82,3,0,38.41634001,34.80140749,42.03104938
0,51,1,4,45.10349085,43.88925242,46.31765432
0,57,3,2,39.69875613,45.79041916,33.60746914
1,25,3,4,59.05598938,55.72529168,62.38648148
1,52,4,5,54.44677305,59.62497685,49.26888889
0,22,3,4,47.75159727,52.49854929,43.00493827
0,28,3,4,53.33112133,57.06821409,49.59425926
0,20,3,4,54.30195376,54.15599728,54.44790123
0,23,3,4,53.18577734,50.40792642,55.96345679
1,41,3,2,55.93413377,43.10661152,68.7608642
0,20,3,4,62.63418624,62.19791345,63.0704321
0,19,3,4,54.90632427,51.38175196,58.43067901
0,20,3,4,48.04549523,53.49083277,42.60049383
0,62,4,5,49.2707491,37.13914439,61.40160494
1,61,4,5,35.32664588,32.11759985,38.53549383
0,21,3,4,70.4368962,72.01512439,68.85876543
1,48,2,2,51.70921942,56.55497253,46.86376543
1,90,2,0,46.9029291,46.14661399,47.65919753
0,22,3,4,49.24062471,50.17587505,48.3054321
0,22,3,4,59.54242415,50.81974196,68.2645679
0,21,3,4,53.00327171,51.77578863,54.23067901
0,21,3,4,53.00327171,51.77578863,54.23067901
0,21,3,4,56.97382635,62.39811099,51.54987654
1,67,6,5,30.11827526,17.49077104,42.745
0,23,3,4,55.93771413,52.19470338,59.68049383
0,18,3,4,36.71755301,35.70201864,37.73302469
0,20,5,4,21.73298559,19.11278474,24.35302469
0,28,2,2,46.00879657,42.14081116,49.87654321
0,23,3,4,0,0,0
0,36,3,2,56.97382635,62.39811099,51.54987654
1,28,3,2,42.12546684,37.38965368,46.86098765
0,23,4,4,50.39825303,43.74041608,57.05567901
0,25,5,4,50.39825303,43.74041608,57.05567901
0,26,5,4,30.05956974,35.20402494,24.9154321
0,19,3,4,26.91197259,20.71405642,33.10950617
0,23,4,4,66.21404982,75.17377616,57.25487654
0,18,4,4,4.00E+01,39.76603494,40.19296296
0,20,4,4,38.38883916,23.22587814,53.5508642
0,18,4,4,56.97382635,62.39811099,51.54987654
0,18,2,4,7.633908454,0,15.26734568
0,34,3,2,34.55939998,30.63794061,38.48061728
0,43,4,6,59.54242415,50.81974196,68.2645679
